Category,cleaned_resume
HR,"Focused on customer satisfaction, Team management, Marketing savvy, Conflict resolution techniques, Training and development, Skilled multi-tasker, Client relations specialist, Organizational skills, Analytical skills, Accounting, Benefits administration, Medical billing, Medical terminology, Financial management, Human Resources, Labor relations, Marketing, Advertising, Data analysis, Performance reviews, Personnel management, Public relations, Budgeting, Website management."
HR,"Adobe Photoshop, ADP, Asset Management, branding, brochures, content, Customer Care, Final Cut Pro, graphics, graphic, HR, Illustrator, InDesign, Innovation, inventory, Lotus Notes, marketing, marketing materials, Microsoft Office, SharePoint, newsletter, presentations, process improvement, Project Management, promotional materials, publications, Quality, real-time, Recruitment, reporting, RFP, sales, stories, Employee Development, video, web design, website, articles"
HR,"Recruiting, FMLA, EEO, FLSA, HRIS Development, Benefit Administration, Policy Development, Web Page Development, Desktop Publishing, Newsletter Productions, Database Management, Leadership Training, OSHA, Workers Compensation, Benefits, Budget Management, Strategic Planning"
HR,"Type 50 wpm, 10-Key by touch, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft Outlook, Microsoft PowerPoint, personnel management, customer service, conflict resolution, inbound and outbound contact center experience, oral presentation, written presentation, filing, database management"
HR,"HR Department Startup, Employment Law, FMLA, ADA, EEO, WC, Mediation & Advocacy, HR Policies & Procedures, Staff Recruitment & Retention, Salary Negotiations, Employee Relations, Benefits Administration, Unemployment Administration, Worker's Compensation Administration, Orientation & On-Boarding, HRIS Technologies, Training & Development, Performance Management, Organizational Development, HR Program/Project Management, HRIS applications (Lawson, Paychex, Kronos, ADP), MS Office (Word, Excel, PowerPoint, Publisher, Access, Visio, Outlook), conflict resolution, continuous improvement, decision making, coaching, financial, functional, hiring, human resource management, legal compliance, leadership, leadership development, managing, management reporting, Mediation, quantitative analysis, payroll, Performance Management, problem solving, recruitment, staffing, strategy, structured, surveys, teamwork, workshops"
HR,"Microsoft Office proficiency, Excel spreadsheets, meticulous attention to detail, results-oriented, self-directed, time management, professional and mature, self-starter, legal administrative support, visa related employment processes, productivity improvement, operational structure development, internal employment authorization processing, USCIS petition preparation, electronic database maintenance, guidelines development, orientation presentation, newsletter creation and distribution, confidential data maintenance, Designated School Official, Alternate Responsible Officer, H-1B visa assistance, student orientation coordination, training program creation, volunteer supervision, administrative supervision, meeting agenda drafting, receptionist management, electronic file system design, media and public relations handling, report writing, correspondence management, office operations management, PowerPoint presentation creation, filing organization, spreadsheet development, SHRM Essentials of Human Resource Management, performance management, critical analysis, recruitment and selection, effective human resources management, establishing competencies."
HR,"ADA, ADMINISTRATIVE SKILLS, coaching, Employee Relations, training employees, English, Special Events, hiring, HRIS, Human Resources, HR, InDesign, Leadership Development, Mediation, Microsoft Office Suites, Publisher, Sharepoint, Newsletters, Organizational Development, PeopleSoft, Performance Management, Policies, Project Management, quality, Quark, safety, scheduling, Spanish, supervision, Teacher, Teaching, training material, Web Design, workshops"
HR,"administrative, ADP, backup, Benefits, bookkeeping, clarify, competitive, customer service, database, delivery, documentation, employee relations, filing, government, HR, human resources, insurance, job analysis, labor relations, law enforcement, Team building, letters, market, meetings, mail, office, Payroll processing, payroll, personnel, policies, processes, Project management, proposal, quality, recruiting, recruitment, safety, strategy, employee handbooks, vendor management, vision, year-end"
HR,"Management consultation, Negotiation, Outlook, E-Recruitment, HR policies/procedures, Customer service, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Problem-solving, Change management, Job analysis, Compensation analysis, Performance management, Recruitment, Training and development, Leadership training, Policy development, Project management, FLSA evaluation, Salary administration, Employee training, Communication skills"
HR,"accounts payable, administrative, administrative support, A/P, benefits, benefits administration, bookkeeping, clerical, Continuous Improvement, databases, employee relations, financial, functional, General Ledger, Human Resource, Human Resources, HR, interpretation, invoicing, legal, employee management, meetings, MRP, payroll, purchasing, receiving, recruitment, reporting, research, Safety, scheduling, secretarial, staffing, supervision"
